,HospitalDirectory,HospitalPrice
19,/Users/ryanripper/Downloads/2019/California Pacific Medical Center - Pacific Campus,3294
25,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Diego,70450
25,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Diego,70450
20,/Users/ryanripper/Downloads/2019/Sutter Maternity & Surgery Center,
26,/Users/ryanripper/Downloads/2019/Mayers Memorial Hospital,1784
26,/Users/ryanripper/Downloads/2019/Sonoma Valley Hospital,5486
25,/Users/ryanripper/Downloads/2019/Marina Del Rey Hospital,3834.24
1997,/Users/ryanripper/Downloads/2019/Marina Del Rey Hospital,70450
26,/Users/ryanripper/Downloads/2019/College Medical Center,3000
2357,/Users/ryanripper/Downloads/2019/College Medical Center,3000.0
2373,/Users/ryanripper/Downloads/2019/College Medical Center,3000.0
4032,/Users/ryanripper/Downloads/2019/College Medical Center,94.86
1100,/Users/ryanripper/Downloads/2019/Southern California Hospital at Hollywood,70450
27,/Users/ryanripper/Downloads/2019/Southern California Hospital at Hollywood,
27,/Users/ryanripper/Downloads/2019/Southern California Hospital at Hollywood,3529
27,/Users/ryanripper/Downloads/2019/Southern California Hospital at Hollywood,3530
1096,/Users/ryanripper/Downloads/2019/Southern California Hospital at Hollywood,3530.0
1367,/Users/ryanripper/Downloads/2019/Sharp Grossmont Hospital,CT SCAN HEAD W/O CONT.
26,/Users/ryanripper/Downloads/2019/Sharp Grossmont Hospital,2490
25,/Users/ryanripper/Downloads/2019/La Palma Intercommunity Hospital,1689
19,/Users/ryanripper/Downloads/2019/Sutter Solano Medical Center,3294
26,/Users/ryanripper/Downloads/2019/North Bay Medical Center,3871.5
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - San Francisco,2500
19,/Users/ryanripper/Downloads/2019/California Pacific Medical Center - St Lukes Campus,3294
26,/Users/ryanripper/Downloads/2019/Desert Regional Medical Center,5305.69
8052,/Users/ryanripper/Downloads/2019/Kindred Hospital - Los Angeles,3724.35
26,/Users/ryanripper/Downloads/2019/St Johns Regional Medical Center - Oxnard,3039
25,/Users/ryanripper/Downloads/2019/Presbyterian Intercommunity Hospital,5697
26,/Users/ryanripper/Downloads/2019/Methodist Hospital - Sacramento,4604
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Oakland-Richmond,2500
