,name,beds,city,website
179,Joyce Eisenberg-Keefer Medical Center,10,Reseda,https://www.ahd.com/free_profile/054147/Joyce_Eisenberg-Keefer_Medical_Center/Reseda/California/
180,Kaiser Permanente Behavioral Health Center in Santa Clara,0,Santa Clara,https://www.ahd.com/free_profile/054150/Kaiser_Permanente_Behavioral_Health_Center_in_Santa_Clara/Santa_Clara/California/
181,Kaiser Permanente Fremont Medical Center,100,Fremont,https://www.ahd.com/free_profile/050512/Kaiser_Permanente_Fremont_Medical_Center/Fremont/California/
182,Kaiser Permanente Roseville Medical Center,340,Roseville,https://www.ahd.com/free_profile/050772/Kaiser_Permanente_Roseville_Medical_Center/Roseville/California/
183,Kaiser Permanente Sacramento Medical Center,287,Sacramento,https://www.ahd.com/free_profile/050425/Kaiser_Permanente_Sacramento_Medical_Center/Sacramento/California/
184,Kaiser Permanente San Diego Medical Center,0,San Diego,https://www.ahd.com/free_profile/I42191/Kaiser_Permanente_San_Diego_Medical_Center/San_Diego/California/
185,Kaiser Permanente San Francisco Medical Center,239,San Francisco,https://www.ahd.com/free_profile/050076/Kaiser_Permanente_San_Francisco_Medical_Center/San_Francisco/California/
186,Kaiser Permanente South San Francisco Medical Center ,120,South San Francisco,https://www.ahd.com/free_profile/050070/Kaiser_Permanente_South_San_Francisco_Medical_Center_/South_San_Francisco/California/
187,Kaiser Permanente Zion Medical Center,596,San Diego,https://www.ahd.com/free_profile/050515/Kaiser_Permanente_Zion_Medical_Center/San_Diego/California/
188,Kaweah Delta Medical Center,581,Visalia,https://www.ahd.com/free_profile/050057/Kaweah_Delta_Medical_Center/Visalia/California/
189,Keck Hospital of USC,331,Los Angeles,https://www.ahd.com/free_profile/050696/Keck_Hospital_of_USC/Los_Angeles/California/
190,Kedren Health,0,Los Angeles,https://www.ahd.com/free_profile/054083/Kedren_Health/Los_Angeles/California/
191,Kentfield Hospital,120,Kentfield,https://www.ahd.com/free_profile/052043/Kentfield_Hospital/Kentfield/California/
192,Kentfield Hospital San Francisco,0,San Francisco,https://www.ahd.com/free_profile/052056/Kentfield_Hospital_San_Francisco/San_Francisco/California/
193,Kern Medical Center,222,Bakersfield,https://www.ahd.com/free_profile/050315/Kern_Medical_Center/Bakersfield/California/
194,Kern Valley Healthcare District,98,Mountain Mesa,https://www.ahd.com/free_profile/051314/Kern_Valley_Healthcare_District/Mountain_Mesa/California/
195,Kindred Hospital - Brea,86,Brea,https://www.ahd.com/free_profile/052039/Kindred_Hospital_-_Brea/Brea/California/
196,Kindred Hospital - Los Angeles,81,Los Angeles,https://www.ahd.com/free_profile/052032/Kindred_Hospital_-_Los_Angeles/Los_Angeles/California/
197,Kindred Hospital - Ontario,91,Ontario,https://www.ahd.com/free_profile/052037/Kindred_Hospital_-_Ontario/Ontario/California/
198,Kindred Hospital - San Diego,70,San Diego,https://www.ahd.com/free_profile/052036/Kindred_Hospital_-_San_Diego/San_Diego/California/
199,Kindred Hospital - San Francisco Bay Area,99,San Leandro,https://www.ahd.com/free_profile/052034/Kindred_Hospital_-_San_Francisco_Bay_Area/San_Leandro/California/
